postcode,totalprops,last14,average,median,avgtom
EH4,92,34,"£1,176 pcm","£1,049 pcm",105 days
EH5,36,14,"£1,035 pcm",£842 pcm,135 days
EH6,98,47,£927 pcm,£850 pcm,61 days
EH7,115,31,"£1,068 pcm",£900 pcm,140 days
EH8,55,17,"£1,260 pcm",£975 pcm,128 days
EH9,54,14,"£1,579 pcm","£1,250 pcm",165 days
EH10,57,13,"£1,253 pcm","£1,148 pcm",205 days
EH11,82,30,£933 pcm,£792 pcm,121 days
EH12,72,24,"£1,243 pcm",£958 pcm,115 days
EH13,7,3,£903 pcm,£802 pcm,78 days
EH14,21,12,"£1,144 pcm",£845 pcm,43 days
EH15,13,6,"£1,004 pcm",£932 pcm,83 days
EH16,28,9,£979 pcm,£935 pcm,158 days
EH17,8,2,£902 pcm,£831 pcm,174 days
EH18,0,0,-,-,-
EH19,6,4,£699 pcm,£688 pcm,84 days
EH20,2,0,£887 pcm,£887 pcm,281 days
EH21,21,13,£966 pcm,£795 pcm,61 days
EH22,13,5,£731 pcm,£700 pcm,88 days
EH23,2,2,£638 pcm,£638 pcm,6 days
EH24,0,0,-,-,-
EH25,0,0,-,-,-
EH26,6,2,£993 pcm,£889 pcm,38 days
EH27,0,0,-,-,-
EH28,0,0,-,-,-
EH29,4,2,£842 pcm,£752 pcm,28 days
EN1,208,38,"£1,364 pcm","£1,300 pcm",217 days
EN2,165,28,"£1,372 pcm","£1,200 pcm",193 days
EN3,201,39,"£1,172 pcm","£1,248 pcm",121 days
EN4,167,30,"£1,952 pcm","£1,352 pcm",167 days
EN5,235,36,"£1,834 pcm","£1,350 pcm",122 days
EN6,97,14,"£1,556 pcm","£1,300 pcm",89 days
EX1,56,20,£819 pcm,£785 pcm,183 days
EX2,114,29,£876 pcm,£849 pcm,157 days
EX3,9,3,"£1,136 pcm","£1,148 pcm",186 days
EX4,119,33,£827 pcm,£780 pcm,164 days
EX5,50,15,£885 pcm,£798 pcm,134 days
EX6,34,10,£910 pcm,£802 pcm,119 days
EX7,36,7,£701 pcm,£706 pcm,147 days
EX8,83,15,£782 pcm,£702 pcm,176 days
EX9,16,1,£879 pcm,£863 pcm,308 days
EX10,27,4,£843 pcm,£750 pcm,162 days
EX11,15,4,£786 pcm,£750 pcm,87 days
EX12,21,6,£654 pcm,£650 pcm,108 days
EX13,20,7,£774 pcm,£722 pcm,132 days
EX14,42,12,£695 pcm,£638 pcm,83 days
EX15,41,16,£747 pcm,£737 pcm,69 days
EX16,57,16,£739 pcm,£641 pcm,86 days
EX17,30,3,£737 pcm,£676 pcm,188 days
FK1,27,10,£512 pcm,£464 pcm,128 days
FK2,47,11,£512 pcm,£450 pcm,168 days
FK3,18,2,£433 pcm,£438 pcm,192 days
FK4,3,0,£462 pcm,£475 pcm,227 days
FK5,21,2,£554 pcm,£490 pcm,301 days
FK6,8,3,£468 pcm,£458 pcm,180 days
FK7,16,4,£641 pcm,£563 pcm,181 days
FK8,28,8,£815 pcm,£698 pcm,143 days
FK9,14,4,£769 pcm,£699 pcm,179 days
FK10,49,5,£508 pcm,£475 pcm,174 days
FK11,3,0,£634 pcm,£676 pcm,246 days
FY1,259,32,£456 pcm,£451 pcm,169 days
FY2,69,16,£544 pcm,£550 pcm,140 days
FY3,125,29,£555 pcm,£550 pcm,135 days
FY4,132,21,£486 pcm,£494 pcm,158 days
G1,97,27,£924 pcm,£850 pcm,153 days
G2,25,7,"£1,011 pcm",£897 pcm,106 days
G3,81,23,"£1,352 pcm","£1,050 pcm",130 days
G4,63,4,"£1,175 pcm",£832 pcm,133 days
G5,18,6,£797 pcm,£763 pcm,179 days
G9,0,0,-,-,-
G11,69,24,£985 pcm,£923 pcm,124 days
G12,97,28,"£1,269 pcm","£1,095 pcm",133 days
G13,35,9,£652 pcm,£625 pcm,180 days
G14,22,6,£544 pcm,£550 pcm,145 days
G15,2,1,£500 pcm,£500 pcm,161 days
G20,51,15,£727 pcm,£695 pcm,166 days
G21,14,6,£516 pcm,£512 pcm,76 days
G22,10,0,£689 pcm,£498 pcm,271 days
G23,4,1,£504 pcm,£522 pcm,60 days
G31,47,18,£609 pcm,£575 pcm,138 days
