postcode,totalprops,last14,average,median,avgtom
M6,177,21,770,498,167
M7,142,21,825,594,151
M8,68,19,636,624,112
M9,51,8,673,594,146
M11,43,14,768,725,134
M12,27,3,662,650,136
M13,85,11,1072,850,160
M14,379,53,1165,793,185
M15,212,45,1018,924,179
M16,104,25,726,655,147
M17,1,0,900,900,109
M18,43,8,644,624,90
M19,66,11,866,750,150
M20,281,75,977,875,121
M21,81,31,997,900,84
M22,73,19,708,700,168
M23,42,10,738,725,111
M24,37,6,844,550,146
ME1,72,18,883,850,134
ME2,51,16,892,823,147
ME3,19,4,1179,1100,172
ME4,127,25,836,776,162
ME5,36,8,799,794,173
ME6,20,3,1148,949,98
ME7,213,47,877,823,163
ME8,41,11,781,776,131
ME9,19,3,1132,980,113
ME10,57,18,762,776,112
ME11,3,1,958,1001,30
MK1,3,1,567,585,33
MK2,19,6,893,871,119
MK3,32,6,1016,901,171
MK4,62,17,1145,985,116
MK5,35,11,1454,1250,175
MK6,44,18,1017,925,118
MK7,43,13,990,895,96
MK8,27,7,964,932,82
MK9,89,12,1101,1050,117
MK10,42,11,1267,1195,103
MK11,17,5,1004,950,107
MK12,22,10,905,912,101
MK13,20,7,1003,873,119
MK14,20,3,1372,1101,130
ML1,50,9,485,451,170
ML2,46,13,462,450,136
ML3,78,14,477,475,192
ML4,24,5,433,410,155
ML5,40,7,490,475,166
ML6,65,9,491,451,200
N1,,248,2269,2145,169
N2,280,42,2971,1712,149
N3,387,61,1889,1551,129
N4,550,111,1672,1473,138
N5,280,62,2114,1831,129
N6,219,42,2749,1733,140
N7,703,149,2017,1820,155
N8,443,71,1558,1452,120
N9,172,35,1190,1149,163
N10,264,65,1707,1473,120
N11,313,45,1545,1452,166
N12,415,85,1686,1452,151
NE1,437,25,1162,823,249
NE2,583,38,1024,825,278
NE3,263,47,829,724,142
NE4,503,43,656,550,205
NE5,97,8,545,498,138
NE6,504,38,842,691,288
NE7,49,6,895,750,195
NE8,278,49,672,516,180
NE9,77,17,574,525,111
NE10,70,12,480,451,190
NE11,30,6,506,497,96
NE12,60,11,710,650,178
NE13,38,6,700,597,115
NE15,77,17,575,524,158
NE16,41,8,575,500,142
NE17,15,1,386,377,120
NE18,4,0,523,513,509
NE19,5,0,593,550,136
NE20,35,8,1522,923,88
NE21,26,4,516,511,121
NE22,63,8,386,377,177
NE23,63,6,507,477,150
NE24,122,18,424,399,177
NE25,72,10,490,496,137
NE26,59,11,725,576,157
NE27,18,5,717,625,104
NE28,172,29,466,451,145
NE29,179,28,484,451,144
NE30,90,20,708,585,124
NE31,43,7,467,451,151
NE32,47,9,472,450,162
NE33,203,28,469,433,209
NE34,71,11,484,477,175
NG1,325,37,1031,800,235
NG2,170,32,904,695,198
NG3,135,22,822,650,167
NG4,47,11,578,550,147
NG5,104,43,627,576,152
NG6,46,17,571,525,122
NG7,552,52,983,650,225
NG8,75,10,754,675,226
NG9,208,45,837,663,149
NG10,58,16,593,576,121
NG12,18,5,920,698,132
NG13,26,3,696,650,122
NG14,9,6,863,724,72
NG15,54,9,649,550,183
NG16,66,16,526,497,146
NN1,197,43,810,700,112
NN2,85,13,1312,897,118
NN3,65,18,758,750,105
NN4,114,28,825,750,115
NN5,54,13,747,750,97
NN6,44,10,953,875,99
NN7,31,5,993,950,112
NN8,105,17,645,650,118
NN9,53,7,681,676,147
NN10,67,15,695,675,132
NP4,36,7,458,451,150
NP7,38,12,702,670,139
NP8,2,0,868,868,44
NP10,28,6,690,595,88
NP11,44,14,496,477,66
NP12,30,10,478,481,75
NP13,33,3,438,394,133
NP15,16,4,716,697,237
NP16,25,7,863,776,29
NR1,157,33,749,660,164
NR2,129,26,842,750,169
NR3,86,23,676,611,182
NR4,57,16,1196,1200,113
NR5,127,15,1163,1049,121
NR6,24,6,818,737,110
NR7,25,6,816,775,128
NR8,37,8,706,650,155
NR9,27,8,851,676,97
NR10,16,6,822,710,122
NR11,20,3,724,650,120
NR12,21,8,827,724,114
NR13,21,5,747,676,249
NR14,27,5,826,725,181
NR15,10,1,914,722,153
NR16,13,4,867,776,94
NR17,29,11,925,776,68
NR18,37,15,751,675,89
NW1,,284,3394,2492,183
NW2,836,155,1831,1517,128
NW3,,265,4249,2817,162
NW4,782,103,1738,1495,114
NW5,258,54,2175,1842,151
NW6,,238,2207,1733,151
OL1,31,5,503,495,75
OL2,38,8,563,510,102
OL3,20,6,714,610,90
OL4,40,12,589,495,120
OL5,25,6,568,550,131
OL6,39,9,536,524,152
OL7,19,6,546,546,69
OL8,29,6,551,500,97
OL9,12,4,581,498,88
OX1,173,17,2117,1694,303
OX2,359,36,2276,1798,290
OX3,298,24,1618,1300,272
OX4,368,44,1740,1352,253
OX5,75,14,1271,1196,185
OX7,48,7,1346,901,138
OX9,43,3,1218,1001,199
OX10,62,8,1216,1050,150
OX11,82,14,1106,1172,138
OX12,57,13,1179,949,137
OX13,35,6,1309,1248,164
OX14,137,31,1115,1027,144
OX15,37,13,1424,1049,67
PA1,97,19,421,400,155
PA2,48,7,498,475,185
PA3,27,6,431,425,122
PA4,43,8,531,475,171
PA5,28,4,441,420,144
PA6,7,0,874,849,177
PA7,0,0,,,
PA8,8,4,611,550,106
PA9,2,0,602,602,211
PA10,6,2,559,425,194
PA11,7,0,665,710,230
PA12,2,1,704,704,23
PA13,8,0,892,813,323
PA14,14,1,707,450,190
PA15,34,4,413,385,161
PA16,28,2,450,450,124
PA17,3,1,902,780,49
PA18,2,0,749,749,249
PA19,15,1,449,425,140
PA20,0,0,,,
PA21,0,0,,,
PA22,0,0,,,
PA23,18,2,516,463,124
PA24,0,0,,,
PA25,0,0,,,
PA26,0,0,,,
PA27,2,1,423,423,50
PA28,1,0,251,251,95
PA29,0,0,,,
PA30,0,0,,,
PA31,2,1,600,600,13
PA32,0,0,,,
PA33,0,0,,,
PA34,0,0,,,
PE1,183,39,718,672,92
PE2,108,34,686,624,119
PE3,62,18,644,650,110
PE4,36,9,692,693,60
PE5,7,3,863,901,114
PE6,29,5,691,675,68
PE7,94,31,741,693,90
PE8,36,12,1623,898,120
PE9,77,12,918,750,103
PE10,21,9,725,641,173
PE11,54,15,578,575,137
PE12,39,9,713,600,135
PE13,73,18,619,589,136
PE14,31,6,750,650,149
PE15,36,12,699,652,97
PE16,12,3,811,685,93
PE19,79,23,850,802,146
PE20,8,3,692,700,45
PH1,89,15,547,500,143
PH2,73,20,591,520,74
PH3,9,2,1352,823,164
PH4,1,0,524,524,95
PH5,2,0,613,613,51
PH6,0,0,,,
PH7,26,9,501,466,35
PH8,3,3,674,800,4
PH9,2,1,968,968,153
PH10,13,4,537,451,36
PH11,4,2,607,639,63
PH12,2,0,722,722,71
PH13,4,3,613,626,12
PH14,3,1,659,650,246
PH15,0,0,,,
PH16,0,0,,,
PH17,0,0,,,
PH18,0,0,,,
PH19,0,0,,,
PH20,0,0,,,
PH21,1,0,675,675,22
PH22,0,0,,,
PL1,180,33,925,625,184
PL2,70,15,582,576,190
PL3,53,14,753,650,188
PL4,344,44,1248,609,209
PL5,27,6,568,594,167
PL6,34,8,605,594,180
PL7,22,9,716,663,130
PL8,4,1,711,713,96
PL9,32,5,783,676,138
PL10,12,0,716,626,126
PL11,22,6,699,609,158
PL12,42,10,747,694,120
PL13,15,5,635,598,88
PL14,32,11,618,595,181
PL15,38,16,627,603,66
PL16,4,0,838,863,103
PL17,17,3,812,693,131
PL18,9,1,724,600,136
PO1,282,34,1075,949,218
PO2,105,25,729,724,155
PO3,20,6,822,778,121
PO4,333,45,1225,1200,223
PO5,370,54,1174,975,197
PO6,36,11,1052,999,148
PO7,51,12,851,823,123
PO8,24,8,913,885,117
PO9,45,10,966,897,164
PO10,28,8,1075,991,128
PO11,29,2,843,725,110
PO12,76,14,756,750,202
PO13,45,7,811,802,164
PO14,42,8,1217,912,138
PO15,29,9,922,895,111
PO16,40,10,844,776,157
PO17,14,4,963,850,95
PR0,0,0,,,
PR1,862,55,693,502,255
PR2,335,40,644,550,237
PR3,49,12,702,598,105
PR4,72,13,685,595,99
PR5,74,17,597,550,168
PR6,57,14,635,550,246
RG1,603,89,954,850,200
RG2,192,23,1022,896,147
RG4,112,19,1253,1173,164
RG5,23,6,1192,1144,115
RG6,171,23,1174,900,168
RG7,60,9,1248,1073,153
RG8,45,11,1902,1395,128
RG9,128,16,2213,1672,172
RG10,46,10,1224,1100,206
RG12,132,15,1070,975,248
RG14,120,33,1061,949,113
RG17,45,4,1106,949,176
RG18,27,5,1610,1452,113
RG19,31,7,1148,1101,70
RG20,29,10,1434,1300,100
RH1,166,32,1103,1049,151
RH2,68,13,1547,1298,196
RH3,8,0,1553,1475,391
RH4,45,13,1521,1200,155
RH5,35,5,2528,1452,127
RH6,68,15,1129,975,124
RH7,15,1,1162,1200,244
RH8,28,6,1780,1300,128
RH9,8,2,1031,925,103
RH10,173,53,1048,1001,139
RH11,110,28,952,912,125
RM1,101,24,1111,1101,138
RM2,40,10,1297,1200,112
RM3,96,18,1295,1250,142
RM4,10,2,1781,1900,169
RM5,44,11,1230,1200,90
